family,candidate,k,layers_csv,gsm8k_score,retention_vs_dense,source,status,note,file
dense,dense_base,0,,0.624,1,phase1_raw_eval,done,Dense baseline from phase-1 raw eval.,
RTP-Gate,rtp_gate_k2,2,"1,24",0.54,0.865385,phase2_k_curve,done,Unique layer set shared by pure and structure-aware k=2 selection.,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/raw_eval/generation_k_curve_20260514/rtp_gate_k2_gsm8k_500.json
RTP-Gate,rtp_gate_k3,3,"1,9,24",0.332,0.532051,phase1_raw_eval,done,Phase-1 k=3 result; pure and structure-aware selected the same layers.,
RTP-Gate,rtp_gate_k5,5,"1,9,10,19,24",0.066,0.105769,phase2_k_curve,done,Unique layer set shared by pure and structure-aware k=5 selection.,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/raw_eval/generation_k_curve_20260514/rtp_gate_k5_gsm8k_500.json
Iterative proxy,iterative_proxy_k2,2,"24,25",0.41,0.657051,phase2_k_curve,done,Existing proxy baseline.,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/raw_eval/generation_k_curve_20260514/iterative_proxy_k2_gsm8k_500.json
Iterative proxy,iterative_proxy_k3,3,"1,24,25",0.396,0.634615,phase1_raw_eval,done,Phase-1 k=3 baseline.,
Iterative proxy,iterative_proxy_k5,5,"1,21,22,24,25",0.092,0.147436,phase2_k_curve,done,Existing proxy baseline.,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/raw_eval/generation_k_curve_20260514/iterative_proxy_k5_gsm8k_500.json
Reverse tail,reverse_2,2,"24,25",0.41,0.657051,phase2_k_curve,done,Naive tail-pruning baseline.,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/raw_eval/generation_k_curve_20260514/reverse_2_gsm8k_500.json
Reverse tail,reverse_3,3,"23,24,25",0.006,0.009615,phase1_raw_eval,done,Phase-1 catastrophic tail-pruning baseline.,
Reverse tail,reverse_5,5,"21,22,23,24,25",0,0,phase2_k_curve,done,Naive tail-pruning baseline.,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/raw_eval/generation_k_curve_20260514/reverse_5_gsm8k_500.json
