candidate_name,layers,k,known_route,trace_count,top_k,layer_index,reverse_tail_priority,bi_prune_priority,normalized_delta_nll,topk_union_jsd,late_jsd_spike,late_entropy_spike,entropy_monotonicity_violation,math_token_delta_nll,answer_token_delta_nll,overconfidence_collapse,rtd,smoke_rtd,calibration_rtd,holdout_rtd,gsm8k_retention,xsum_retention,risky_gsm8k_lt_0_60,score_file
rtp_gate_pure_drop_0,0,1,,300,100,0,0,0,657.3287685877649,0.07667263093949193,0.37988847187536884,1.351327458932815,0.26162611623110993,1354.4293645572968,1060.809746101112,1.646850525644745,326.09254871242007,,322.13201987494244,334.0136063873759,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_pure_drop_0.json
rtp_gate_structure_drop_0,0,1,,300,100,0,0,0,657.3287685877649,0.07667263093949193,0.37988847187536884,1.351327458932815,0.26162611623110993,1354.4293645572968,1060.809746101112,1.646850525644745,326.09254871242007,,322.13201987494244,334.0136063873759,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_0.json
single_layer_0,0,1,,300,100,0,0,0,657.3287685877649,0.07667263093949193,0.37988847187536884,1.351327458932815,0.26162611623110993,1354.4293645572968,1060.809746101112,1.646850525644745,326.09254871242007,,322.13201987494244,334.0136063873759,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/single_layer_0.json
rtp_gate_pure_drop_20,20,1,,300,100,20,20,4,316.8866689624657,0.017715688382281054,0.07940948157619196,0.2966748430413185,0.14769210989806758,805.9006702813253,7.988845460902251,0.2859910276764434,144.17897346086593,,141.81217896747762,148.91256244764247,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_pure_drop_20.json
rtp_gate_structure_drop_20,20,1,,300,100,20,20,4,316.8866689624657,0.017715688382281054,0.07940948157619196,0.2966748430413185,0.14769210989806758,805.9006702813253,7.988845460902251,0.2859910276764434,144.17897346086593,,141.81217896747762,148.91256244764247,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_20.json
single_layer_20,20,1,,300,100,20,20,4,316.8866689624657,0.017715688382281054,0.07940948157619196,0.2966748430413185,0.14769210989806758,805.9006702813253,7.988845460902251,0.2859910276764434,144.17897346086593,,141.81217896747762,148.91256244764247,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/single_layer_20.json
rtp_gate_pure_drop_18,18,1,,300,100,18,18,1,290.57278068590784,0.02179573480474523,0.10166448204451708,0.38938877531984045,0.15828004657957176,735.8441883029012,9.751290274688557,0.3532367437784205,132.1058334447221,,128.06402609012395,140.18944815391845,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_pure_drop_18.json
rtp_gate_structure_drop_18,18,1,,300,100,18,18,1,290.57278068590784,0.02179573480474523,0.10166448204451708,0.38938877531984045,0.15828004657957176,735.8441883029012,9.751290274688557,0.3532367437784205,132.1058334447221,,128.06402609012395,140.18944815391845,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_18.json
single_layer_18,18,1,,300,100,18,18,1,290.57278068590784,0.02179573480474523,0.10166448204451708,0.38938877531984045,0.15828004657957176,735.8441883029012,9.751290274688557,0.3532367437784205,132.1058334447221,,128.06402609012395,140.18944815391845,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/single_layer_18.json
rtp_gate_pure_drop_16,16,1,,300,100,16,16,0,164.32987177742248,0.024298949062405612,0.13033477459068302,0.4001520777403367,0.1551728115262416,414.81668225302667,31.265856281979154,0.5355003833083716,75.95197947386252,,72.81796418209402,82.22001005739969,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_pure_drop_16.json
rtp_gate_structure_drop_16,16,1,,300,100,16,16,0,164.32987177742248,0.024298949062405612,0.13033477459068302,0.4001520777403367,0.1551728115262416,414.81668225302667,31.265856281979154,0.5355003833083716,75.95197947386252,,72.81796418209402,82.22001005739969,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_16.json
single_layer_16,16,1,,300,100,16,16,0,164.32987177742248,0.024298949062405612,0.13033477459068302,0.4001520777403367,0.1551728115262416,414.81668225302667,31.265856281979154,0.5355003833083716,75.95197947386252,,72.81796418209402,82.22001005739969,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/single_layer_16.json
rtp_gate_pure_drop_4,4,1,,300,100,4,4,0,101.52134661959104,0.04324629595789824,0.19095445910342937,0.8014339489358387,0.20341147998242684,208.24026257233933,21.941532053806835,1.354929349965567,43.367815179850396,,43.681155332930345,42.7411348736905,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_pure_drop_4.json
rtp_gate_structure_drop_4,4,1,,300,100,4,4,0,101.52134661959104,0.04324629595789824,0.19095445910342937,0.8014339489358387,0.20341147998242684,208.24026257233933,21.941532053806835,1.354929349965567,43.367815179850396,,43.681155332930345,42.7411348736905,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/rtp_gate_structure_drop_4.json
single_layer_4,4,1,,300,100,4,4,0,101.52134661959104,0.04324629595789824,0.19095445910342937,0.8014339489358387,0.20341147998242684,208.24026257233933,21.941532053806835,1.354929349965567,43.367815179850396,,43.681155332930345,42.7411348736905,,,,/root/hs/paper2_layer_pruning/results/day12_rtp_gate/rtd_scores/single_layer_4.json
